id,title,post,points,postOwnerId,created_at
1,Synchronised neutral strategy,"Supplement Ileocecal Valve with Autologous Tissue Substitute, Via Natural or Artificial Opening",77,78,2020-01-12T18:54:03Z
2,Expanded fault-tolerant throughput,"Restriction of Right Hand Vein with Intraluminal Device, Percutaneous Endoscopic Approach",1,9,2020-06-07T05:29:24Z
3,Reactive 6th generation artificial intelligence,"Reposition Descending Colon, Open Approach",84,91,2019-11-01T02:46:41Z
4,Secured system-worthy policy,Fluoroscopy of Thoracic Facet Joint(s) using High Osmolar Contrast,76,32,2019-10-20T21:52:00Z
5,Synergized real-time frame,"Destruction of Left Upper Arm Muscle, Percutaneous Endoscopic Approach",18,41,2020-07-12T17:50:03Z
6,User-friendly 5th generation functionalities,"Excision of Middle Esophagus, Percutaneous Endoscopic Approach",38,47,2020-09-02T05:18:33Z
7,Enterprise-wide coherent project,"Replacement of Right Lower Arm Subcutaneous Tissue and Fascia with Synthetic Substitute, Percutaneous Approach",53,11,2020-03-06T05:09:41Z
8,Phased client-server secured line,"Bypass Bilateral Ureters to Ileocutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach",79,51,2020-03-12T05:47:48Z
9,Mandatory object-oriented benchmark,"Revision of Synthetic Substitute in Left Knee Joint, Femoral Surface, Percutaneous Endoscopic Approach",10,90,2020-01-16T13:50:58Z
10,Proactive exuding contingency,"Inspection of Right Extraocular Muscle, Open Approach",81,9,2020-01-30T21:54:52Z
11,Reduced optimizing pricing structure,"Dilation of Right Vertebral Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach",2,45,2019-11-23T14:05:30Z
12,Organic maximized orchestration,"Control Bleeding in Abdominal Wall, Open Approach",41,25,2020-05-03T08:45:47Z
13,Versatile web-enabled ability,"Supplement Left Thumb Phalanx with Synthetic Substitute, Percutaneous Approach",81,12,2020-08-19T00:08:26Z
14,Mandatory upward-trending strategy,"Repair Right Toe Phalanx, External Approach",89,95,2020-06-09T11:43:49Z
15,Advanced upward-trending moderator,"Supplement Right Femoral Region with Autologous Tissue Substitute, Open Approach",20,25,2020-03-05T21:06:42Z
16,Sharable responsive moderator,"Resection of Right Ankle Bursa and Ligament, Open Approach",31,65,2020-02-04T10:45:01Z
17,Down-sized secondary moderator,"Revision of External Fixation Device in Right Metacarpocarpal Joint, Percutaneous Approach",16,90,2019-11-06T19:17:05Z
18,Multi-layered background capability,"Supplement of Left Upper Leg Subcutaneous Tissue and Fascia with Autologous Tissue Substitute, Open Approach",69,33,2020-06-09T10:06:15Z
19,Managed zero tolerance projection,"Bypass Common Bile Duct to Small Intestine, Open Approach",3,81,2019-12-06T19:32:42Z
20,Synergistic multi-state installation,"Bypass Left Brachial Vein to Upper Vein, Open Approach",96,48,2020-01-05T12:10:26Z
21,Self-enabling regional artificial intelligence,"Resection of Left Temporomandibular Joint, Open Approach",26,80,2020-09-11T17:04:05Z
22,Team-oriented value-added local area network,"Bypass Left Foot Vein to Lower Vein with Synthetic Substitute, Percutaneous Endoscopic Approach",2,27,2019-12-17T20:29:47Z
23,Extended dynamic project,Low Dose Rate (LDR) Brachytherapy of Ovary using Palladium 103 (Pd-103),21,51,2020-09-27T22:33:19Z
24,Open-source bandwidth-monitored contingency,"Inspection of Right Elbow Joint, Percutaneous Approach",7,75,2019-12-28T11:24:49Z
25,Customer-focused asymmetric benchmark,"Removal of Extraluminal Device from Upper Intestinal Tract, Via Natural or Artificial Opening Endoscopic",17,43,2019-11-15T05:10:33Z
26,Multi-channelled 3rd generation product,"Dilation of Left Vertebral Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach",7,15,2020-09-28T21:12:18Z
27,Down-sized content-based open architecture,"Inspection of Left Lower Extremity, Percutaneous Approach",40,93,2019-12-23T00:24:45Z
28,Right-sized logistical service-desk,"Drainage of Right Ankle Region, Percutaneous Endoscopic Approach",8,76,2020-05-05T01:18:24Z
29,Configurable heuristic interface,"Fusion of Cervicothoracic Vertebral Joint with Autologous Tissue Substitute, Posterior Approach, Posterior Column, Open Approach",13,44,2020-02-14T03:30:07Z
30,Multi-tiered zero tolerance knowledge base,"Removal of Radioactive Element from Lower Jaw, External Approach",54,60,2020-08-13T11:09:56Z
31,Customer-focused grid-enabled algorithm,"Inspection of Left Lung, External Approach",94,97,2020-08-06T11:24:52Z
32,Horizontal full-range projection,"Excision of Left Sternoclavicular Joint, Percutaneous Approach",42,46,2020-02-17T04:29:33Z
33,Persistent systemic installation,"Bypass Bilateral Ureters to Bladder with Synthetic Substitute, Open Approach",34,43,2020-01-03T09:56:49Z
34,Cross-platform dedicated implementation,Fluoroscopy of Bilateral Internal Carotid Arteries using Other Contrast,83,79,2020-05-23T02:43:02Z
35,Polarised didactic toolset,"Drainage of Right Thorax Tendon, Open Approach, Diagnostic",59,29,2019-10-12T03:19:17Z
36,Front-line attitude-oriented complexity,Plain Radiography of Right Lower Extremity Lymphatics using Other Contrast,79,5,2020-07-04T08:11:04Z
37,Balanced value-added access,"Excision of Right Common Iliac Artery, Percutaneous Endoscopic Approach",24,67,2020-03-26T04:42:47Z
38,Right-sized scalable groupware,"Reposition Right Lower Femur with Intramedullary Internal Fixation Device, Percutaneous Approach",40,70,2020-09-10T21:26:30Z
39,Synergized object-oriented functionalities,"Excision of Left Lower Leg Muscle, Percutaneous Endoscopic Approach",73,26,2020-08-01T02:37:20Z
40,Enhanced full-range Graphical User Interface,Plain Radiography of Left Epididymis using Low Osmolar Contrast,18,13,2020-04-08T04:21:55Z
41,Versatile 3rd generation framework,"Revision of Other Device in Genitourinary Tract, Percutaneous Approach",16,76,2019-12-26T13:24:18Z
42,Phased composite help-desk,"Excision of Middle Colic Artery, Percutaneous Endoscopic Approach",73,93,2020-07-29T00:00:33Z
43,Devolved demand-driven software,"Bypass Jejunum to Jejunum with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic",81,92,2020-02-24T23:32:52Z
44,Polarised bottom-line application,"Restriction of Left External Carotid Artery with Bioactive Intraluminal Device, Open Approach",69,58,2020-04-11T05:41:42Z
45,Cloned well-modulated moderator,"Excision of Left Superior Parathyroid Gland, Percutaneous Endoscopic Approach, Diagnostic",31,75,2020-09-04T11:47:24Z
46,Innovative multimedia leverage,"Reposition Right Femoral Shaft with Hybrid External Fixation Device, Percutaneous Endoscopic Approach",87,85,2020-09-01T01:15:59Z
47,Managed didactic neural-net,"Drainage of Right Temporal Bone with Drainage Device, Percutaneous Approach",51,9,2020-09-26T05:36:31Z
48,Automated uniform artificial intelligence,"Occlusion of Left Common Carotid Artery with Intraluminal Device, Percutaneous Endoscopic Approach",90,65,2020-08-28T23:25:07Z
49,Customer-focused radical paradigm,"Removal of Other Device from Male Perineum, Percutaneous Endoscopic Approach",82,21,2019-10-15T09:21:09Z
50,Front-line transitional artificial intelligence,"Reposition Right Tympanic Membrane, Via Natural or Artificial Opening Endoscopic",6,26,2019-11-09T20:59:43Z
51,Pre-emptive high-level access,"Removal of Internal Fixation Device from Right Hip Joint, Open Approach",22,81,2020-04-24T02:08:06Z
52,Programmable systemic knowledge base,"Replacement of Right Pulmonary Artery with Synthetic Substitute, Open Approach",99,37,2019-10-27T15:34:30Z
53,Focused bi-directional strategy,"Replacement of Coccyx with Synthetic Substitute, Percutaneous Endoscopic Approach",89,59,2020-02-22T15:25:21Z
54,Multi-channelled methodical installation,"Repair Right Humeral Shaft, External Approach",12,66,2020-02-11T22:07:34Z
55,Vision-oriented attitude-oriented implementation,"Replacement of Right Rib with Nonautologous Tissue Substitute, Open Approach",100,81,2019-12-30T02:59:52Z
